team,date,wins,losses,ties
bears,1994,9,7,0
bears,1995,9,7,0
bears,1996,7,9,0
bears,1997,4,12,0
bears,1998,4,12,0
bears,1999,6,10,0
bears,2000,5,11,0
bears,2001,13,3,0
bears,2002,4,12,0
bears,2003,7,9,0
bears,2004,5,11,0
bears,2005,11,5,0
bears,2006,13,3,0
bears,2007,7,9,0
bears,2008,9,7,0
bears,2009,7,9,0
bears,2010,11,5,0
bears,2011,8,8,0
bears,2012,10,6,0
